BAY_SEG,YEAR,MONTH,tnloadkg
2,1994,4,63001.99
2,1994,5,62277.39
2,1994,6,118524.28
2,1994,7,196453.30
2,1994,8,334883.58
2,1994,9,435282.05
2,1994,10,137382.98
2,1994,11,97227.11
2,1994,12,89429.03
3,1985,1,20168.43
3,1985,2,15994.28
3,1985,3,30099.92
3,1985,4,19738.03
3,1985,5,20325.96
3,1985,6,41157.69
3,1985,7,65041.03
3,1985,8,59539.56
3,1985,9,94508.32
3,1985,10,21842.68
3,1985,11,18475.90
3,1985,12,11918.26
3,1986,1,18880.34
3,1986,2,24147.24
3,1986,3,40471.11
3,1986,4,17950.82
3,1986,5,36073.74
3,1986,6,78997.78
3,1986,7,63695.49
3,1986,8,96357.99
3,1986,9,45119.52
3,1986,10,144017.56
3,1986,11,32342.34
3,1986,12,19208.52
3,1987,1,20462.95
3,1987,2,51733.96
3,1987,3,123224.89
3,1987,4,50162.59
3,1987,5,123724.97
3,1987,6,38906.12
3,1987,7,99700.19
3,1987,8,116987.58
3,1987,9,56808.32
3,1987,10,22760.16
3,1987,11,61946.03
3,1987,12,14124.03
3,1988,1,30523.79
3,1988,2,25747.99
3,1988,3,38831.57
3,1988,4,44741.80
3,1988,5,67709.48
3,1988,6,15964.79
3,1988,7,41639.51
3,1988,8,205021.93
3,1988,9,541563.46
3,1988,10,31290.91
3,1988,11,49173.83
3,1988,12,12023.59
3,1989,1,20364.87
3,1989,2,12887.15
3,1989,3,21236.13
3,1989,4,54361.81
3,1989,5,14047.63
3,1989,6,63208.78
3,1989,7,99561.08
3,1989,8,105401.34
3,1989,9,153278.57
3,1989,10,30824.73
3,1989,11,20883.99
3,1989,12,35257.60
3,1990,1,15336.47
3,1990,2,37922.46
3,1990,3,16133.49
3,1990,4,14834.53
3,1990,5,26807.87
3,1990,6,118777.34
3,1990,7,85281.82
3,1990,8,78959.89
3,1990,9,33549.98
3,1990,10,31412.03
3,1990,11,29932.11
3,1990,12,7690.38
3,1991,1,19922.30
3,1991,2,12651.15
3,1991,3,53621.88
3,1991,4,30736.37
3,1991,5,87958.20
3,1991,6,77821.02
3,1991,7,132189.97
3,1991,8,104579.03
3,1991,9,55765.64
3,1991,10,14828.85
3,1991,11,12478.74
3,1991,12,10166.27
3,1992,1,19873.58
3,1992,2,47703.85
3,1992,3,31619.39
3,1992,4,57788.80
3,1992,5,12462.19
3,1992,6,219406.14
3,1992,7,83629.19
3,1992,8,118103.31
3,1992,9,71118.92
3,1992,10,38052.17
3,1992,11,19320.66
3,1992,12,15024.82
3,1993,1,33551.97
3,1993,2,19999.90
3,1993,3,42553.27
3,1993,4,42576.19
3,1993,5,17044.28
3,1993,6,32464.30
3,1993,7,63643.63
3,1993,8,94717.77
3,1993,9,83193.33
3,1993,10,41585.82
3,1993,11,24047.47
3,1993,12,13439.28
3,1994,1,26212.20
3,1994,2,16181.24
3,1994,3,17158.39
3,1994,4,45027.91
3,1994,5,28021.43
3,1994,6,91935.37
3,1994,7,152048.73
3,1994,8,231225.99
3,1994,9,212137.56
3,1994,10,80690.00
3,1994,11,19226.98
3,1994,12,21511.79
4,1985,1,17768.43
4,1985,2,10409.31
4,1985,3,22219.34
4,1985,4,17344.15
4,1985,5,16501.65
4,1985,6,33321.25
4,1985,7,47707.88
4,1985,8,24833.01
4,1985,9,45747.37
4,1985,10,10938.41
4,1985,11,11852.31
4,1985,12,7675.04
4,1986,1,9488.06
4,1986,2,14573.96
4,1986,3,19187.39
4,1986,4,10112.69
4,1986,5,25914.96
4,1986,6,72206.72
4,1986,7,33354.88
4,1986,8,53262.57
4,1986,9,21774.49
4,1986,10,61475.41
4,1986,11,12942.86
4,1986,12,10587.98
4,1987,1,10672.26
4,1987,2,31909.52
4,1987,3,58020.32
4,1987,4,7737.70
4,1987,5,61403.73
4,1987,6,28323.33
4,1987,7,45337.16
4,1987,8,48781.02
4,1987,9,26032.38
4,1987,10,8638.98
4,1987,11,12606.78
4,1987,12,5357.05
